year,month,week,date,deaths,covid
2014,1,1,2014-01-04T05:00:00Z,1745,NA
2014,1,2,2014-01-11T05:00:00Z,3177,NA
2014,1,3,2014-01-18T05:00:00Z,3023,NA
2014,1,4,2014-01-25T05:00:00Z,2990,NA
2014,1,53,2015-01-03T05:00:00Z,3291,NA
2014,2,5,2014-02-01T05:00:00Z,3188,NA
2014,2,6,2014-02-08T05:00:00Z,3002,NA
2014,2,7,2014-02-15T05:00:00Z,3095,NA
2014,2,8,2014-02-22T05:00:00Z,2998,NA
2014,3,9,2014-03-01T05:00:00Z,2909,NA
2014,3,10,2014-03-08T05:00:00Z,2918,NA
2014,3,11,2014-03-15T04:00:00Z,2899,NA
2014,3,12,2014-03-22T04:00:00Z,2976,NA
2014,3,13,2014-03-29T04:00:00Z,2926,NA
2014,4,14,2014-04-05T04:00:00Z,2985,NA
2014,4,15,2014-04-12T04:00:00Z,3046,NA
2014,4,16,2014-04-19T04:00:00Z,2918,NA
2014,4,17,2014-04-26T04:00:00Z,2959,NA
2014,5,18,2014-05-03T04:00:00Z,2860,NA
2014,5,19,2014-05-10T04:00:00Z,2890,NA
2014,5,20,2014-05-17T04:00:00Z,2686,NA
2014,5,21,2014-05-24T04:00:00Z,2610,NA
2014,5,22,2014-05-31T04:00:00Z,2622,NA
2014,6,23,2014-06-07T04:00:00Z,2740,NA
2014,6,24,2014-06-14T04:00:00Z,2483,NA
2014,6,25,2014-06-21T04:00:00Z,2712,NA
2014,6,26,2014-06-28T04:00:00Z,2714,NA
2014,7,27,2014-07-05T04:00:00Z,2620,NA
2014,7,28,2014-07-12T04:00:00Z,2650,NA
2014,7,29,2014-07-19T04:00:00Z,2643,NA
2014,7,30,2014-07-26T04:00:00Z,2632,NA
2014,8,31,2014-08-02T04:00:00Z,2600,NA
2014,8,32,2014-08-09T04:00:00Z,2567,NA
2014,8,33,2014-08-16T04:00:00Z,2611,NA
2014,8,34,2014-08-23T04:00:00Z,2605,NA
2014,8,35,2014-08-30T04:00:00Z,2658,NA
2014,9,36,2014-09-06T04:00:00Z,2641,NA
2014,9,37,2014-09-13T04:00:00Z,2540,NA
2014,9,38,2014-09-20T04:00:00Z,2728,NA
2014,9,39,2014-09-27T04:00:00Z,2819,NA
2014,10,40,2014-10-04T04:00:00Z,2739,NA
2014,10,41,2014-10-11T04:00:00Z,2819,NA
2014,10,42,2014-10-18T04:00:00Z,2858,NA
2014,10,43,2014-10-25T04:00:00Z,2839,NA
2014,11,44,2014-11-01T04:00:00Z,2868,NA
2014,11,45,2014-11-08T05:00:00Z,3017,NA
2014,11,46,2014-11-15T05:00:00Z,2869,NA
2014,11,47,2014-11-22T05:00:00Z,2999,NA
2014,11,48,2014-11-29T05:00:00Z,2920,NA
2014,12,49,2014-12-06T05:00:00Z,2988,NA
2014,12,50,2014-12-13T05:00:00Z,2977,NA
2014,12,51,2014-12-20T05:00:00Z,3040,NA
2014,12,52,2014-12-27T05:00:00Z,3060,NA
2015,1,1,2015-01-10T05:00:00Z,3542,NA
2015,1,2,2015-01-17T05:00:00Z,3419,NA
2015,1,3,2015-01-24T05:00:00Z,3384,NA
2015,1,4,2015-01-31T05:00:00Z,3331,NA
2015,1,52,2016-01-02T05:00:00Z,2809,NA
2015,2,5,2015-02-07T05:00:00Z,3393,NA
2015,2,6,2015-02-14T05:00:00Z,3334,NA
2015,2,7,2015-02-21T05:00:00Z,3361,NA
2015,2,8,2015-02-28T05:00:00Z,3237,NA
