state,year,week,date2,deaths,date,month
Alabama,2014,1,01/04/2014,355,2014-01-04T05:00:00Z,1
Alabama,2014,2,01/11/2014,872,2014-01-11T05:00:00Z,1
Alabama,2014,3,01/18/2014,1044,2014-01-18T05:00:00Z,1
Alabama,2014,4,01/25/2014,1022,2014-01-25T05:00:00Z,1
Alabama,2014,5,02/01/2014,1040,2014-02-01T05:00:00Z,2
Alabama,2014,6,02/08/2014,992,2014-02-08T05:00:00Z,2
Alabama,2014,7,02/15/2014,942,2014-02-15T05:00:00Z,2
Alabama,2014,8,02/22/2014,990,2014-02-22T05:00:00Z,2
Alabama,2014,9,03/01/2014,958,2014-03-01T05:00:00Z,3
Alabama,2014,10,03/08/2014,988,2014-03-08T05:00:00Z,3
Alabama,2014,11,03/15/2014,974,2014-03-15T04:00:00Z,3
Alabama,2014,12,03/22/2014,934,2014-03-22T04:00:00Z,3
Alabama,2014,13,03/29/2014,926,2014-03-29T04:00:00Z,3
Alabama,2014,14,04/05/2014,949,2014-04-05T04:00:00Z,4
Alabama,2014,15,04/12/2014,924,2014-04-12T04:00:00Z,4
Alabama,2014,16,04/19/2014,986,2014-04-19T04:00:00Z,4
Alabama,2014,17,04/26/2014,914,2014-04-26T04:00:00Z,4
Alabama,2014,18,05/03/2014,933,2014-05-03T04:00:00Z,5
Alabama,2014,19,05/10/2014,916,2014-05-10T04:00:00Z,5
Alabama,2014,20,05/17/2014,925,2014-05-17T04:00:00Z,5
Alabama,2014,21,05/24/2014,892,2014-05-24T04:00:00Z,5
Alabama,2014,22,05/31/2014,932,2014-05-31T04:00:00Z,5
Alabama,2014,23,06/07/2014,922,2014-06-07T04:00:00Z,6
Alabama,2014,24,06/14/2014,838,2014-06-14T04:00:00Z,6
Alabama,2014,25,06/21/2014,774,2014-06-21T04:00:00Z,6
Alabama,2014,26,06/28/2014,727,2014-06-28T04:00:00Z,6
Alabama,2014,27,07/05/2014,671,2014-07-05T04:00:00Z,7
Alabama,2014,28,07/12/2014,683,2014-07-12T04:00:00Z,7
Alabama,2014,29,07/19/2014,751,2014-07-19T04:00:00Z,7
Alabama,2014,30,07/26/2014,847,2014-07-26T04:00:00Z,7
Alabama,2014,31,08/02/2014,848,2014-08-02T04:00:00Z,8
Alabama,2014,32,08/09/2014,891,2014-08-09T04:00:00Z,8
Alabama,2014,33,08/16/2014,829,2014-08-16T04:00:00Z,8
Alabama,2014,34,08/23/2014,741,2014-08-23T04:00:00Z,8
Alabama,2014,35,08/30/2014,588,2014-08-30T04:00:00Z,8
Alabama,2014,36,09/06/2014,700,2014-09-06T04:00:00Z,9
Alabama,2014,37,09/13/2014,729,2014-09-13T04:00:00Z,9
Alabama,2014,38,09/20/2014,764,2014-09-20T04:00:00Z,9
Alabama,2014,39,09/27/2014,933,2014-09-27T04:00:00Z,9
Alabama,2014,40,10/04/2014,866,2014-10-04T04:00:00Z,10
Alabama,2014,41,10/11/2014,917,2014-10-11T04:00:00Z,10
Alabama,2014,42,10/18/2014,924,2014-10-18T04:00:00Z,10
Alabama,2014,43,10/25/2014,890,2014-10-25T04:00:00Z,10
Alabama,2014,44,11/01/2014,918,2014-11-01T04:00:00Z,11
Alabama,2014,45,11/08/2014,817,2014-11-08T05:00:00Z,11
Alabama,2014,46,11/15/2014,805,2014-11-15T05:00:00Z,11
Alabama,2014,47,11/22/2014,933,2014-11-22T05:00:00Z,11
Alabama,2014,48,11/29/2014,986,2014-11-29T05:00:00Z,11
Alabama,2014,49,12/06/2014,995,2014-12-06T05:00:00Z,12
Alabama,2014,50,12/13/2014,1036,2014-12-13T05:00:00Z,12
Alabama,2014,51,12/20/2014,1117,2014-12-20T05:00:00Z,12
Alabama,2014,52,12/27/2014,1068,2014-12-27T05:00:00Z,12
Alabama,2014,53,01/03/2015,1103,2015-01-03T05:00:00Z,1
Alabama,2015,1,01/10/2015,1139,2015-01-10T05:00:00Z,1
Alabama,2015,2,01/17/2015,1140,2015-01-17T05:00:00Z,1
Alabama,2015,3,01/24/2015,1043,2015-01-24T05:00:00Z,1
Alabama,2015,4,01/31/2015,1076,2015-01-31T05:00:00Z,1
Alabama,2015,5,02/07/2015,1110,2015-02-07T05:00:00Z,2
Alabama,2015,6,02/14/2015,1070,2015-02-14T05:00:00Z,2
Alabama,2015,7,02/21/2015,1066,2015-02-21T05:00:00Z,2
Alabama,2015,8,02/28/2015,1102,2015-02-28T05:00:00Z,2
Alabama,2015,9,03/07/2015,1206,2015-03-07T05:00:00Z,3
Alabama,2015,10,03/14/2015,1103,2015-03-14T04:00:00Z,3
Alabama,2015,11,03/21/2015,1003,2015-03-21T04:00:00Z,3
Alabama,2015,12,03/28/2015,983,2015-03-28T04:00:00Z,3
Alabama,2015,13,04/04/2015,955,2015-04-04T04:00:00Z,4
Alabama,2015,14,04/11/2015,975,2015-04-11T04:00:00Z,4
Alabama,2015,15,04/18/2015,902,2015-04-18T04:00:00Z,4
Alabama,2015,16,04/25/2015,996,2015-04-25T04:00:00Z,4
Alabama,2015,17,05/02/2015,977,2015-05-02T04:00:00Z,5
Alabama,2015,18,05/09/2015,900,2015-05-09T04:00:00Z,5
Alabama,2015,19,05/16/2015,893,2015-05-16T04:00:00Z,5
Alabama,2015,20,05/23/2015,862,2015-05-23T04:00:00Z,5
Alabama,2015,21,05/30/2015,816,2015-05-30T04:00:00Z,5
Alabama,2015,22,06/06/2015,749,2015-06-06T04:00:00Z,6
Alabama,2015,23,06/13/2015,881,2015-06-13T04:00:00Z,6
Alabama,2015,24,06/20/2015,902,2015-06-20T04:00:00Z,6
Alabama,2015,25,06/27/2015,932,2015-06-27T04:00:00Z,6
Alabama,2015,26,07/04/2015,905,2015-07-04T04:00:00Z,7
Alabama,2015,27,07/11/2015,926,2015-07-11T04:00:00Z,7
Alabama,2015,28,07/18/2015,920,2015-07-18T04:00:00Z,7
Alabama,2015,29,07/25/2015,919,2015-07-25T04:00:00Z,7
Alabama,2015,30,08/01/2015,904,2015-08-01T04:00:00Z,8
Alabama,2015,31,08/08/2015,910,2015-08-08T04:00:00Z,8
Alabama,2015,32,08/15/2015,958,2015-08-15T04:00:00Z,8
Alabama,2015,33,08/22/2015,866,2015-08-22T04:00:00Z,8
Alabama,2015,34,08/29/2015,918,2015-08-29T04:00:00Z,8
Alabama,2015,35,09/05/2015,928,2015-09-05T04:00:00Z,9
Alabama,2015,36,09/12/2015,957,2015-09-12T04:00:00Z,9
Alabama,2015,37,09/19/2015,907,2015-09-19T04:00:00Z,9
Alabama,2015,38,09/26/2015,933,2015-09-26T04:00:00Z,9
Alabama,2015,39,10/03/2015,878,2015-10-03T04:00:00Z,10
Alabama,2015,40,10/10/2015,918,2015-10-10T04:00:00Z,10
Alabama,2015,41,10/17/2015,789,2015-10-17T04:00:00Z,10
Alabama,2015,42,10/24/2015,794,2015-10-24T04:00:00Z,10
Alabama,2015,43,10/31/2015,909,2015-10-31T04:00:00Z,10
Alabama,2015,44,11/07/2015,866,2015-11-07T05:00:00Z,11
Alabama,2015,45,11/14/2015,928,2015-11-14T05:00:00Z,11
Alabama,2015,46,11/21/2015,995,2015-11-21T05:00:00Z,11
Alabama,2015,47,11/28/2015,974,2015-11-28T05:00:00Z,11
Alabama,2015,48,12/05/2015,914,2015-12-05T05:00:00Z,12
Alabama,2015,49,12/12/2015,899,2015-12-12T05:00:00Z,12
